"","property_id","property_code","property_name","previous_name","company","financially_active","operationally_active","property_type","zip","region","county","submarket","city","operation_status","reporting_ownership","reporting_unit_count","consolidated","active_directory_name","latitude","longitude","status","division","regional_area_manager","sold_date","ga_group_name","status_group","operationally_active_group","parent_group_code","parent_group_name","year_built","year_built_range","county_group","property_name_group","property_code_group","soldthis_year","property_name_code","region_rpm_property","unit_buckets"
"11",840,"023","101 San Fernando","Unknown","Essex","Y","Y","Residential",95112,"Northern California","Santa Clara","San Jose MSA","San Jose","Stabilized",NA,323,"Y","Unknown",37.335529,-121.887001,"Same Store","Northern CA","James Zhou",NA,NA,"Same Store","Y","NA","NA","2001",">15 <20 Years","Santa Clara","101 San Fernando","023",0,"101 San Fernando (023)","Northern California James Zhou 101 San Fernando (023)",">300 Units"
"12",1008,"025","The Commons","Unknown","Essex","Y","Y","Residential",95008,"Northern California","Santa Clara","San Jose MSA","Campbell","Stabilized",NA,264,"Y","Unknown",37.282837,-121.938171,"Same Store","Northern CA","Ali Ghatala",NA,NA,"Same Store","Y","NA","NA","1973","40+ Years","Santa Clara","The Commons","025",0,"The Commons (025)","Northern California Ali Ghatala The Commons (025)",">200 Units"
"13",6,"027","Avondale @ Warner Center","Unknown","Essex","Y","Y","Residential",91367,"Southern California","Los Angeles","Woodland Hills","Woodland Hills","Stabilized",NA,446,"Y","Unknown",34.18539,-118.611816,"Same Store","LA/Ventura","Elizabeth Rodriguez",NA,NA,"Same Store","Y","NA","NA","1970","40+ Years","Los Angeles","Avondale @ Warner Center","027",0,"Avondale @ Warner Center (027)","Southern California Elizabeth Rodriguez Avondale @ Warner Center (027)","400+"
"14",106,"028","Alpine Village","Unknown","Essex","Y","Y","Residential",91901,"Southern California","San Diego","Other SoCal","Alpine","Stabilized",NA,301,"Y","Unknown",32.836075,-116.770592,"Same Store","OC/San Diego","Nick Allen",NA,NA,"Same Store","Y","NA","NA","1971","40+ Years","San Diego","Alpine Village","028",0,"Alpine Village (028)","Southern California Nick Allen Alpine Village (028)",">300 Units"
"15",11,"030","Bristol Commons","Unknown","Essex","Y","Y","Residential",94086,"Northern California","Santa Clara","San Jose MSA","Sunnyvale","Stabilized",NA,188,"Y","Unknown",37.371674,-122.016647,"Same Store","Northern CA","Amir Sheikh",NA,NA,"Same Store","Y","NA","NA","1989",">30 <40 Years","Santa Clara","Bristol Commons","030",0,"Bristol Commons (030)","Northern California Amir Sheikh Bristol Commons (030)","<200"
"16",137,"031","Belmont Terrace","Unknown","Essex","Y","Y","Residential",94002,"Northern California","San Mateo","San Mateo","Belmont","Stabilized",NA,71,"Y","Unknown",37.510078,-122.302109,"Same Store","Northern CA","Nicole Conrad",NA,NA,"Same Store","Y","NA","NA","1970","40+ Years","San Mateo","Belmont Terrace","031",0,"Belmont Terrace (031)","Northern California Nicole Conrad Belmont Terrace (031)","<200"
"17",12,"032","Bunker Hill Towers","Unknown","Essex","Y","Y","Residential",90012,"Southern California","Los Angeles","Los Angeles CBD","Los Angeles","Stabilized",NA,456,"Y","Unknown",34.056026,-118.253532,"Non Same Store","LA/Ventura","Richard Resos",NA,NA,"Non Same Store","Y","NA","NA","1968","40+ Years","Los Angeles","Bunker Hill Towers","032",0,"Bunker Hill Towers (032)","Southern California Richard Resos Bunker Hill Towers (032)","400+"
"18",85,"033","Bonita Cedars","Unknown","Essex","Y","Y","Residential",91902,"Southern California","San Diego","Chula Vista","Bonita","Stabilized",NA,120,"Y","Unknown",32.679928,-117.027,"Same Store","OC/San Diego","Jenifer Bulskov",NA,NA,"Same Store","Y","NA","NA","1983",">30 <40 Years","San Diego","Bonita Cedars","033",0,"Bonita Cedars (033)","Southern California Jenifer Bulskov Bonita Cedars (033)","<200"
"19",16,"034","Brighton Ridge Apartments","Unknown","Essex","Y","Y","Residential",98056,"Seattle Metro","King","South","Renton","Stabilized",NA,264,"Y","Unknown",47.487476,-122.186821,"Same Store","Washington","Sherrie Clevenger",NA,NA,"Same Store","Y","NA","NA","1986",">30 <40 Years","King","Brighton Ridge Apartments","034",0,"Brighton Ridge Apartments (034)","Seattle Metro Sherrie Clevenger Brighton Ridge Apartments (034)",">200 Units"
"20",17,"035","Bridle Trails Apartments","Unknown","Essex","Y","Y","Residential",98033,"Seattle Metro","King","Eastside","Kirkland","Stabilized",NA,108,"Y","Unknown",47.666164,-122.167603,"Same Store","Washington","Carol Swanson",NA,NA,"Same Store","Y","NA","NA","1986",">30 <40 Years","King","Bridle Trails Apartments","035",0,"Bridle Trails Apartments (035)","Seattle Metro Carol Swanson Bridle Trails Apartments (035)","<200"
"21",1943,"036","Bellerive","Unknown","Essex","Y","Y","Residential",90025,"Southern California","Los Angeles","West LA","Los Angeles","Stabilized",NA,63,"Y","Unknown",34.042553,-118.44368,"Same Store","LA/Ventura","Lisa Holbrook",NA,NA,"Same Store","Y","NA","NA","2011",">5 <10 Years","Los Angeles","Bellerive","036",0,"Bellerive (036)","Southern California Lisa Holbrook Bellerive (036)","<200"
"22",143,"040","CBC/Sweeps","Unknown","Essex","Y","Y","Residential",93117,"Southern California","Santa Barbara","Other SoCal","Goleta","Stabilized",NA,239,"Y","Unknown",34.416744,-119.86367,"Non Same Store","LA/Ventura","Bridgit Susim",NA,NA,"Non Same Store","Y","NA","NA","1962","40+ Years","Other Southern California","CBC/Sweeps","040 & 057",0,"CBC/Sweeps (040 & 057)","Southern California Bridgit Susim CBC/Sweeps (040 & 057)",">200 Units"
"23",19,"041","Castle Creek Apartments","Unknown","Essex","Y","Y","Residential",98059,"Seattle Metro","King","Eastside","Newcastle","Stabilized",NA,216,"Y","Unknown",47.539894,-122.162392,"Same Store","Washington","Sherrie Clevenger",NA,NA,"Same Store","Y","NA","NA","1998",">20 <30 Years","King","Castle Creek Apartments","041",0,"Castle Creek Apartments (041)","Seattle Metro Sherrie Clevenger Castle Creek Apartments (041)",">200 Units"
"24",1352,"042","Anavia","Unknown","Essex","Y","Y","Residential",92806,"Southern California","Orange","North Orange","Anaheim","Stabilized",NA,250,"Y","Unknown",33.797569,-117.889297,"Same Store","OC/San Diego","Brent Christianson",NA,NA,"Same Store","Y","NA","NA","2009",">10 <15 Years","Orange","Anavia","042",0,"Anavia (042)","Southern California Brent Christianson Anavia (042)",">200 Units"
"25",92,"050","Canyon Pointe","Unknown","Essex","Y","Y","Residential",98021,"Seattle Metro","Snohomish","Snohomish","Bothell","Stabilized",NA,250,"Y","Unknown",47.791302,-122.211853,"Same Store","Washington","Melissa Gerard",NA,NA,"Same Store","Y","NA","NA","1990",">30 <40 Years","Snohomish","Canyon Pointe","050",0,"Canyon Pointe (050)","Seattle Metro Melissa Gerard Canyon Pointe (050)",">200 Units"
"26",21,"051","Camarillo Oaks Apartments","Unknown","Essex","Y","Y","Residential",93010,"Southern California","Ventura","Ventura","Camarillo","Stabilized",NA,564,"Y","Unknown",34.221504,-119.056862,"Same Store","LA/Ventura","Bridgit Susim",NA,NA,"Same Store","Y","NA","NA","1985",">30 <40 Years","Ventura","Camarillo Oaks Apartments","051",0,"Camarillo Oaks Apartments (051)","Southern California Bridgit Susim Camarillo Oaks Apartments (051)","400+"
"27",5256,"055","Piedmont","Unknown","Essex","Y","Y","Residential",98007,"Seattle Metro","King","Eastside","Bellevue","Stabilized",NA,396,"Y","Unknown",47.621677,-122.135643,"Same Store","Washington","Suzanne Bachler",NA,NA,"Same Store","Y","NA","NA","#UNKN","","King","Piedmont","055",0,"Piedmont (055)","Seattle Metro Suzanne Bachler Piedmont (055)",">300 Units"
"28",105,"056","Country Villas","Unknown","Essex","Y","Y","Residential",92058,"Southern California","San Diego","Oceanside/Esc","Oceanside","Stabilized",NA,180,"Y","Unknown",33.233349,-117.324669,"Same Store","OC/San Diego","Kevin Forsyth",NA,NA,"Same Store","Y","NA","NA","1976","40+ Years","San Diego","Country Villas","056",0,"Country Villas (056)","Southern California Kevin Forsyth Country Villas (056)","<200"
"29",154,"058","Devonshire Apartments","Unknown","Essex","Y","Y","Residential",92545,"Southern California","Riverside","Other SoCal","Hemet","Stabilized",NA,276,"Y","Unknown",33.751045,-117.000023,"Non Same Store","OC/San Diego","Mark Yepez",NA,NA,"Non Same Store","Y","NA","NA","1988",">30 <40 Years","Other Southern California","Devonshire Apartments","058",0,"Devonshire Apartments (058)","Southern California Mark Yepez Devonshire Apartments (058)",">200 Units"
"30",3086,"061","Park Catalina","Unknown","Essex","Y","Y","Residential",90005,"Southern California","Los Angeles","West LA","Los Angeles","Stabilized",NA,90,"Y","Unknown",34.060181,-118.295044,"Same Store","LA/Ventura","Richard Resos",NA,NA,"Same Store","Y","NA","NA","2002",">15 <20 Years","Los Angeles","Park Catalina","061",0,"Park Catalina (061)","Southern California Richard Resos Park Catalina (061)","<200"
"31",24,"063","Evergreen Heights","Unknown","Essex","Y","Y","Residential",98034,"Seattle Metro","King","Eastside","Kirkland","Stabilized",NA,200,"Y","Unknown",47.717613,-122.176834,"Same Store","Washington","Carol Swanson",NA,NA,"Same Store","Y","NA","NA","1990",">30 <40 Years","King","Evergreen Heights","063",0,"Evergreen Heights (063)","Seattle Metro Carol Swanson Evergreen Heights (063)",">200 Units"
"32",25,"066","Emerald Ridge","Unknown","Essex","Y","Y","Residential",98005,"Seattle Metro","King","Eastside","Bellevue","Stabilized",NA,180,"Y","Unknown",47.583237,-122.180145,"Same Store","Washington","Sherrie Clevenger",NA,NA,"Same Store","Y","NA","NA","1987",">30 <40 Years","King","Emerald Ridge","066",0,"Emerald Ridge (066)","Seattle Metro Sherrie Clevenger Emerald Ridge (066)","<200"
"33",28,"068","Fairway @ Big Canyon Apartments","Unknown","Essex","Y","Y","Residential",92660,"Southern California","Orange","South Orange","Newport Beach","Stabilized",NA,74,"Y","Unknown",33.617355,-117.868523,"Same Store","OC/San Diego","Kevin Forsyth",NA,NA,"Same Store","Y","NA","NA","1972","40+ Years","Orange","Fairway @ Big Canyon Apartments","068",0,"Fairway @ Big Canyon Apartments (068)","Southern California Kevin Forsyth Fairway @ Big Canyon Apartments (068)","<200"
"34",29,"069","Foothill Commons","Unknown","Essex","Y","Y","Residential",98005,"Seattle Metro","King","Eastside","Bellevue","Stabilized",NA,394,"Y","Unknown",47.6179402,-122.1596425,"Same Store","Washington","Suzanne Bachler",NA,NA,"Same Store","Y","NA","NA","1978","40+ Years","King","Foothill Commons","069",0,"Foothill Commons (069)","Seattle Metro Suzanne Bachler Foothill Commons (069)",">300 Units"
"35",27,"070","Fountain Court","Unknown","Essex","Y","Y","Residential",98121,"Seattle Metro","King","Seattle CBD","Seattle","Stabilized",NA,320,"Y","Unknown",47.616345,-122.345606,"Same Store","Washington","Melissa Downs",NA,NA,"Same Store","Y","NA","NA","2000",">20 <30 Years","King","Fountain Court","070",0,"Fountain Court (070)","Seattle Metro Melissa Downs Fountain Court (070)",">300 Units"
"36",96,"071","Fountain Park","Unknown","Essex","Y","Y","Residential",90094,"Southern California","Los Angeles","West LA","Playa Vista","Stabilized",NA,705,"Y","Unknown",33.974621,-118.42894,"Same Store","LA/Ventura","Lisa Holbrook",NA,NA,"Same Store","Y","NA","NA","2002",">15 <20 Years","Los Angeles","Fountain Park","071",0,"Fountain Park (071)","Southern California Lisa Holbrook Fountain Park (071)","400+"
"37",31,"073","Foothill/Twin Creeks","Unknown","Essex","Y","Y","Residential",94583,"Northern California","Contra Costa","San Ramon","San Ramon","Stabilized",NA,176,"Y","Unknown",37.757835,-121.967331,"Same Store","Northern CA","Vanessa Liclican",NA,NA,"Same Store","Y","NA","NA","1985",">30 <40 Years","Contra Costa","Foothill/Twin Creeks","073",0,"Foothill/Twin Creeks (073)","Northern California Vanessa Liclican Foothill/Twin Creeks (073)","<200"
"38",91,"074","Forestview","Unknown","Essex","Y","Y","Residential",98059,"Seattle Metro","King","South","Renton","Stabilized",NA,192,"Y","Unknown",47.495544,-122.156502,"Same Store","Washington","Sherrie Clevenger",NA,NA,"Same Store","Y","NA","NA","1998",">20 <30 Years","King","Forestview","074",0,"Forestview (074)","Seattle Metro Sherrie Clevenger Forestview (074)","<200"
"39",1279,"078","Santee Court","Unknown","Essex","Y","Y","Residential",90014,"Southern California","Los Angeles","Los Angeles CBD","Los Angeles","Stabilized",NA,238,"Y","Unknown",34.043102,-118.250488,"Same Store","LA/Ventura","Richard Resos",NA,NA,"Same Store","Y","NA","NA","2004",">15 <20 Years","Los Angeles","Santee Court","077-078",0,"Santee Court (077-078)","Southern California Richard Resos Santee Court (077-078)",">200 Units"
"40",32,"080","Huntington Breakers Apartments","Unknown","Essex","Y","Y","Residential",92648,"Southern California","Orange","North Orange","Huntington Beach","Stabilized",NA,342,"Y","Unknown",33.653847,-117.987915,"Same Store","OC/San Diego","Cynthia Cifuentes",NA,NA,"Same Store","Y","NA","NA","1984",">30 <40 Years","Orange","Huntington Breakers Apartments","080",0,"Huntington Breakers Apartments (080)","Southern California Cynthia Cifuentes Huntington Breakers Apartments (080)",">300 Units"
"41",120,"083","Hidden Valley","Unknown","Essex","Y","Y","Residential",93063,"Southern California","Ventura","Ventura","Simi Valley","Stabilized",NA,324,"Y","Unknown",34.270931,-118.69381,"Same Store","LA/Ventura","Elizabeth Rodriguez",NA,NA,"Same Store","Y","NA","NA","2004",">15 <20 Years","Ventura","Hidden Valley","083",0,"Hidden Valley (083)","Southern California Elizabeth Rodriguez Hidden Valley (083)",">300 Units"
"42",36,"084","Inglenook Court","Unknown","Essex","Y","Y","Residential",98034,"Seattle Metro","King","Eastside","Kirkland","Stabilized",NA,224,"Y","Unknown",47.729149,-122.243385,"Same Store","Washington","Carol Swanson",NA,NA,"Same Store","Y","NA","NA","1985",">30 <40 Years","King","Inglenook Court","084",0,"Inglenook Court (084)","Seattle Metro Carol Swanson Inglenook Court (084)",">200 Units"
"43",38,"086","Blake LA, The","Unknown","Essex","Y","Y","Residential",90069,"Southern California","Los Angeles","West LA","Los Angeles","Stabilized",NA,196,"Y","Unknown",34.084538,-118.372154,"Same Store","LA/Ventura","Lisa Holbrook",NA,NA,"Same Store","Y","NA","NA","1979","40+ Years","Los Angeles","Blake LA, The","086",0,"Blake LA, The (086)","Southern California Lisa Holbrook Blake LA, The (086)","<200"
"44",40,"087","Henley, The","Unknown","Essex","Y","Y","Residential",91202,"Southern California","Los Angeles","Tri-Cities LA","Glendale","Stabilized",NA,215,"Y","Unknown",34.162724,-118.261375,"Same Store","LA/Ventura","Crystal Rodgers",NA,NA,"Same Store","Y","NA","NA","1970","40+ Years","Los Angeles","Henley, The","087",0,"Henley, The (087)","Southern California Crystal Rodgers Henley, The (087)",">200 Units"
"45",46,"092","Mirabella Apartments","Unknown","Essex","Y","Y","Residential",90292,"Southern California","Los Angeles","West LA","Marina Del Rey","Stabilized",NA,188,"Y","Unknown",33.985092,-118.446548,"Same Store","LA/Ventura","Lisa Holbrook",NA,NA,"Same Store","Y","NA","NA","2000",">20 <30 Years","Los Angeles","Mirabella Apartments","092",0,"Mirabella Apartments (092)","Southern California Lisa Holbrook Mirabella Apartments (092)","<200"
"46",44,"093","Hillcrest Park Apartments","Unknown","Essex","Y","Y","Residential",91320,"Southern California","Ventura","Ventura","Newbury Park","Stabilized",NA,608,"Y","Unknown",34.186966,-118.918732,"Same Store","LA/Ventura","Bridgit Susim",NA,NA,"Same Store","Y","NA","NA","1973","40+ Years","Ventura","Hillcrest Park Apartments","093",0,"Hillcrest Park Apartments (093)","Southern California Bridgit Susim Hillcrest Park Apartments (093)","400+"
"47",45,"094","Marina Cove","Unknown","Essex","Y","Y","Residential",95051,"Northern California","Santa Clara","San Jose MSA","Santa Clara","Stabilized",NA,292,"Y","Unknown",37.348534,-121.991066,"Same Store","Northern CA","Davina Slusher",NA,NA,"Same Store","Y","NA","NA","1974","40+ Years","Santa Clara","Marina Cove","094",0,"Marina Cove (094)","Northern California Davina Slusher Marina Cove (094)",">200 Units"
"48",94,"095","The Promenade at Marina City Club","Unknown","Essex","Y","Y","Residential",90292,"Southern California","Los Angeles","West LA","Marina Del Rey","Stabilized",NA,101,"Y","Unknown",33.983967,-118.452744,"Same Store","LA/Ventura","Lisa Holbrook",NA,NA,"Same Store","Y","NA","NA","1971","40+ Years","Los Angeles","The Promenade at Marina City Club","095",0,"The Promenade at Marina City Club (095)","Southern California Lisa Holbrook The Promenade at Marina City Club (095)","<200"
"49",125,"100","Mission Hills","Unknown","Essex","Y","Y","Residential",92057,"Southern California","San Diego","Oceanside/Esc","Oceanside","Stabilized",NA,282,"Y","Unknown",33.223537,-117.319801,"Same Store","OC/San Diego","Kevin Forsyth",NA,NA,"Same Store","Y","NA","NA","1984",">30 <40 Years","San Diego","Mission Hills","100",0,"Mission Hills (100)","Southern California Kevin Forsyth Mission Hills (100)",">200 Units"
"50",48,"102","Mariners Place","Unknown","Essex","Y","Y","Residential",93030,"Southern California","Ventura","Ventura","Oxnard","Stabilized",NA,105,"Y","Unknown",34.194386,-119.180496,"Same Store","LA/Ventura","Elizabeth Rodriguez",NA,NA,"Same Store","Y","NA","NA","1987",">30 <40 Years","Ventura","Mariners Place","102",0,"Mariners Place (102)","Southern California Elizabeth Rodriguez Mariners Place (102)","<200"
"51",84,"103","Marbrisa Apartments Homes","Unknown","Essex","Y","Y","Residential",90815,"Southern California","Los Angeles","Long Beach","Long Beach","Stabilized",NA,202,"Y","Unknown",33.790558,-118.146301,"Same Store","LA/Ventura","Mark Yepez",NA,NA,"Same Store","Y","NA","NA","1989",">30 <40 Years","Los Angeles","Marbrisa Apartments Homes","103",0,"Marbrisa Apartments Homes (103)","Southern California Mark Yepez Marbrisa Apartments Homes (103)",">200 Units"
"52",214,"106","Mesa Village","Unknown","Essex","Y","Y","Residential",92117,"Southern California","San Diego","North City/Coast","San Diego","Stabilized",NA,133,"Y","Unknown",32.834122,-117.177696,"Same Store","OC/San Diego","Nick Allen",NA,NA,"Same Store","Y","NA","NA","1963","40+ Years","San Diego","Mesa Village","106",0,"Mesa Village (106)","Southern California Nick Allen Mesa Village (106)","<200"
"53",89,"108","Mira Monte Apartment Homes","Unknown","Essex","Y","Y","Residential",92126,"Southern California","San Diego","North City/Coast","San Diego","Stabilized",NA,354,"Y","Unknown",32.905678,-117.117073,"Same Store","OC/San Diego","Jenifer Bulskov",NA,NA,"Same Store","Y","NA","NA","1982",">30 <40 Years","San Diego","Mira Monte Apartment Homes","108",0,"Mira Monte Apartment Homes (108)","Southern California Jenifer Bulskov Mira Monte Apartment Homes (108)",">300 Units"
"54",51,"109","Montclaire, The","Unknown","Essex","Y","Y","Residential",94085,"Northern California","Santa Clara","San Jose MSA","Sunnyvale","Stabilized",NA,390,"Y","Unknown",37.386967,-122.0298,"Same Store","Northern CA","Amir Sheikh",NA,NA,"Same Store","Y","NA","NA","1973","40+ Years","Santa Clara","Montclaire, The","109",0,"Montclaire, The (109)","Northern California Amir Sheikh Montclaire, The (109)",">300 Units"
"55",52,"110","Pathways Apartments","Unknown","Essex","Y","Y","Residential",90803,"Southern California","Los Angeles","Long Beach","Long Beach","Stabilized",NA,296,"Y","Unknown",33.771088,-118.116577,"Same Store","LA/Ventura","Mark Yepez",NA,NA,"Same Store","Y","NA","NA","1975","40+ Years","Los Angeles","Pathways Apartments","110",0,"Pathways Apartments (110)","Southern California Mark Yepez Pathways Apartments (110)",">200 Units"
"56",111,"111","Park Hill Apartments","Unknown","Essex","Y","Y","Residential",98029,"Seattle Metro","King","Eastside","Issaquah","Stabilized",NA,245,"Y","Unknown",47.551975,-122.038246,"Same Store","Washington","Sherrie Clevenger",NA,NA,"Same Store","Y","NA","NA","1999",">20 <30 Years","King","Park Hill Apartments","111",0,"Park Hill Apartments (111)","Seattle Metro Sherrie Clevenger Park Hill Apartments (111)",">200 Units"
"57",119,"112","Pinehurst Apartments","Unknown","Essex","Y","Y","Residential",93003,"Southern California","Ventura","Ventura","Ventura","Stabilized",NA,28,"Y","Unknown",34.27354,-119.241158,"Same Store","LA/Ventura","Maggie Angulo",NA,NA,"Same Store","Y","NA","NA","1973","40+ Years","Ventura","Pinehurst Apartments","112",0,"Pinehurst Apartments (112)","Southern California Maggie Angulo Pinehurst Apartments (112)","<200"
"58",1375,"113","416 on Broadway","Unknown","Essex","Y","Y","Residential",91205,"Southern California","Los Angeles","Tri-Cities LA","Glendale","Stabilized",NA,115,"Y","Unknown",34.146278,-118.251099,"Same Store","LA/Ventura","Crystal Rodgers",NA,NA,"Same Store","Y","NA","NA","2009",">10 <15 Years","Los Angeles","416 on Broadway","113",0,"416 on Broadway (113)","Southern California Crystal Rodgers 416 on Broadway (113)","<200"
"59",2084,"115","Bernard","Unknown","Essex","Y","Y","Residential",98109,"Seattle Metro","King","Seattle CBD","Seattle","Stabilized",NA,63,"Y","Unknown",47.619099,-122.354515,"Same Store","Washington","Jillian LeMay",NA,NA,"Same Store","Y","NA","NA","2008",">10 <15 Years","King","Bernard","115",0,"Bernard (115)","Seattle Metro Jillian LeMay Bernard (115)","<200"
"60",54,"116","Le Parc Luxury Apt.","Unknown","Essex","Y","Y","Residential",95050,"Northern California","Santa Clara","San Jose MSA","Santa Clara","Stabilized",NA,140,"Y","Unknown",37.336994,-121.950645,"Same Store","Northern CA","Ali Ghatala",NA,NA,"Same Store","Y","NA","NA","1975","40+ Years","Santa Clara","Le Parc Luxury Apt.","116",0,"Le Parc Luxury Apt. (116)","Northern California Ali Ghatala Le Parc Luxury Apt. (116)","<200"
"61",55,"117","Miracle Mile","Unknown","Essex","Y","Y","Residential",90036,"Southern California","Los Angeles","West LA","Los Angeles","Stabilized",NA,236,"Y","Unknown",34.064404,-118.346901,"Same Store","LA/Ventura","Selena Kerr",NA,NA,"Same Store","Y","NA","NA","1988",">30 <40 Years","Los Angeles","Miracle Mile","117",0,"Miracle Mile (117)","Southern California Selena Kerr Miracle Mile (117)",">200 Units"
"62",3376,"118","Park West","Unknown","Essex","Y","Y","Residential",94122,"Northern California","San Francisco","San Francisco","San Francisco","Stabilized",NA,126,"Y","Unknown",37.765289,-122.471107,"Same Store","Northern CA","Erica Rangel",NA,NA,"Same Store","Y","NA","NA","1958","40+ Years","San Francisco","Park West","118",0,"Park West (118)","Northern California Erica Rangel Park West (118)","<200"
"63",1649,"121","1000 Kiely","Unknown","Essex","Y","Y","Residential",95051,"Northern California","Santa Clara","San Jose MSA","Santa Clara","Stabilized",NA,121,"Y","Unknown",37.344494,-121.978516,"Same Store","Northern CA","Ali Ghatala",NA,NA,"Same Store","Y","NA","NA","1971","40+ Years","Santa Clara","1000 Kiely","121",0,"1000 Kiely (121)","Northern California Ali Ghatala 1000 Kiely (121)","<200"
"64",3107,"123","The Huntington","Unknown","Essex","Y","Y","Residential",92647,"Southern California","Orange","North Orange","Huntington Beach","Stabilized",NA,276,"Y","Unknown",33.729111,-117.982162,"Same Store","OC/San Diego","Cynthia Cifuentes",NA,NA,"Same Store","Y","NA","NA","1975","40+ Years","Orange","The Huntington","123",0,"The Huntington (123)","Southern California Cynthia Cifuentes The Huntington (123)",">200 Units"
